gps_lat,gps_long,lat,long,city,state,area,country,state_flag
48.08,-77.89,48.10018,-77.7828,Val-d'Or,Quebec,Abitibi-Temiscamingue,CA,None
42.77,-92.62,42.7847,-92.66769000000001,Clarksville,Iowa,Butler County,US,Iowa
28.52,-68.59,32.2949,-64.78303000000001,Hamilton,Hamilton city,,BM,None
40.46,-79.06,40.5434,-79.16226,Homer City,Pennsylvania,Indiana County,US,Pennsylvania
26.41,-99.44,26.56219,-99.22863000000001,Nueva Ciudad Guerrero,Tamaulipas,,MX,None
35.05,-88.54,34.93425,-88.52226999999999,Corinth,Mississippi,Alcorn County,US,Mississippi
41.38,-83.63,41.37477,-83.65132,Bowling Green,Ohio,Wood County,US,Ohio
36.68,-80.45,36.64097,-80.26561,Stuart,Virginia,Patrick County,US,Virginia
35.15,-114.72,35.16778,-114.57302,Laughlin,Nevada,Clark County,US,Nevada
47.15,-86.97,46.54354,-87.39542,Marquette,Michigan,Marquette County,US,Michigan
39.01,-68.14,41.28346,-70.09946,Nantucket,Massachusetts,Nantucket County,US,Massachusetts
37.36,-118.8,37.64855,-118.97208,Mammoth Lakes,California,Mono County,US,California
50.69,-83.54,49.68351,-83.66654,Hearst,Ontario,,CA,None
35.73,-80.91,35.70069,-80.88813,Troutman,North Carolina,Iredell County,US,North Carolina
35.17,-118.47,35.14247,-118.49036000000001,Golden Hills,California,Kern County,US,California
37.81,-76.61,37.769859999999994,-76.46634,Lancaster,Virginia,Lancaster County,US,Virginia
34.01,-94.19,34.037890000000004,-94.34132,De Queen,Arkansas,Sevier County,US,Arkansas
39.19,-71.14,41.035940000000004,-71.95451,Montauk,New York,Suffolk County,US,New York
40.39,-71.76,41.035940000000004,-71.95451,Montauk,New York,Suffolk County,US,New York
50.14,-78.75,49.75018,-77.63277,Matagami,Quebec,Nord-du-Quebec,CA,None
40.04,-74.22,40.04262,-74.18486,Leisure Village,New Jersey,Ocean County,US,New Jersey
39.25,-76.33,39.335390000000004,-76.39024,Bowleys Quarters,Maryland,Baltimore County,US,Maryland
40.53,-118.68,40.17935,-118.47348000000001,Lovelock,Nevada,Pershing County,US,Nevada
42.03,-111.7,41.922709999999995,-111.81356000000001,Richmond,Utah,Cache County,US,Utah
