gps_lat,gps_long,lat,long,city,state,area,country,state_flag
-39.45,150.28,-37.06322,149.90401,Eden,New South Wales,Bega Valley,AU,New South Wales
-39.28,140.94,-38.3462,141.60257,Portland,Victoria,Glenelg,AU,Victoria
-39.16,124.16,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-25.65,132.74,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-34.82,126.69,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-15.74,145.55,-15.470279999999999,145.24986,Cooktown,Queensland,Cook,AU,Queensland
-16.67,142.19,-16.995,145.42323000000002,Mareeba,Queensland,Tablelands,AU,Queensland
-41.6,143.69,-40.84587,145.12498,Smithton,Tasmania,Circular Head,AU,Tasmania
-26.51,114.07,-27.7105,114.16505,Kalbarri,Western Australia,Northampton Shire,AU,Western Australia
-27.6,120.14,-30.746140000000004,121.4742,Kalgoorlie,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-9.85,146.75,-9.44314,147.17972,Port Moresby,National Capital,,PG,None
-21.93,124.3,-17.955379999999998,122.23921999999999,Broome,Western Australia,Broome,AU,Western Australia
-28.16,116.75,-28.183329999999998,116.73333000000001,Melville,Western Australia,Yalgoo,AU,Western Australia
-9.96,144.8,-9.07628,143.20918999999998,Daru,Western Province,,PG,None
-34.31,151.59,-34.01088,151.20512,Kurnell,New South Wales,Sutherland Shire,AU,New South Wales
-25.55,148.22,-26.56741,148.78751,Roma,Queensland,Maranoa,AU,Queensland
-26.59,142.94,-27.707279999999997,140.73696999999999,Innamincka,South Australia,,AU,South Australia
-34.22,145.9,-34.28853,146.05093,Griffith,New South Wales,Griffith,AU,New South Wales
-36.44,147.15,-36.73628,147.17531,Mount Beauty,Victoria,Alpine,AU,Victoria
-34.9,146.3,-34.74752,146.55096,Narrandera,New South Wales,Narrandera,AU,New South Wales
-38.55,151.39,-37.06322,149.90401,Eden,New South Wales,Bega Valley,AU,New South Wales
-41.99,141.81,-39.929759999999995,143.85385,Currie,Tasmania,King Island,AU,Tasmania
-30.12,122.87,-30.866670000000003,121.76666999999999,Stoneville,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-34.25,129.64,-32.1266,133.67271000000002,Ceduna,South Australia,Ceduna,AU,South Australia
-31.44,124.95,-30.866670000000003,121.76666999999999,Stoneville,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-18.28,113.93,-20.66275,116.71256000000001,Dampier,Western Australia,Roebourne,AU,Western Australia
-38.0,148.77,-37.88115,147.98103,Lakes Entrance,Victoria,East Gippsland,AU,Victoria
-10.79,117.06,-8.9933,117.20700000000001,Padasuka,West Nusa Tenggara,,ID,None
-36.0,134.4,-34.72625,135.87442,Port Lincoln,South Australia,Port Lincoln,AU,South Australia
-38.43,137.16,-35.6559,137.6393,Kingscote,South Australia,Kangaroo Island,AU,South Australia
-19.61,130.65,-18.22485,127.66646999999999,Halls Creek,Western Australia,Halls Creek,AU,Western Australia
